FlightNumber,Departure,Arrival,Origin,Destination,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability,BookingClass,Price,Availability
VS8754,2018-07-10T16:41:06+02:00[CET],2018-07-10T18:11:06+02:00[CET],NTE,ORY,K,EUR 50.12,5,L,EUR 75.10,3,Q,EUR 91.58,0,V,EUR 111.11,8,U,EUR 134.49,3,T,EUR 158.76,0,X,EUR 171.11,4,N,EUR 197.48,2,O,EUR 216.86,8,S,EUR 249.40,4,Y,EUR 267.44,6,B,EUR 284.63,4,M,EUR 304.35,9,H,EUR 321.87,5,W,EUR 337.41,3,E,EUR 367.97,4,D,EUR 385.56,0,I,EUR 398.84,4,Z,EUR 413.36,0,J,EUR 434.31,2,C,EUR 455.76,2,A,EUR 473.23,8,F,EUR 502.39,9
MD2167,2018-07-10T14:46:50+02:00[CET],2018-07-10T16:16:50+02:00[CET],NTE,SXB,K,EUR 53.46,3,L,EUR 89.84,0,Q,EUR 99.50,7,V,EUR 117.14,0,U,EUR 133.01,1,T,EUR 150.03,7,X,EUR 186.48,9,N,EUR 192.60,0,O,EUR 225.36,2,S,EUR 232.62,3,Y,EUR 250.53,8,B,EUR 276.51,4,M,EUR 301.70,0,H,EUR 311.54,3,W,EUR 337.81,4,E,EUR 361.88,4,D,EUR 386.27,5,I,EUR 390.07,3,Z,EUR 416.96,1,J,EUR 439.37,9,C,EUR 456.08,9,A,EUR 481.91,1,F,EUR 499.46,1
TG119,2018-07-10T18:01:41+02:00[CET],2018-07-10T19:31:41+02:00[CET],TLS,MRS,K,EUR 64.50,9,L,EUR 76.26,0,Q,EUR 92.26,5,V,EUR 123.94,0,U,EUR 140.12,1,T,EUR 159.19,1,X,EUR 176.33,8,N,EUR 202.89,7,O,EUR 228.05,8,S,EUR 246.73,8,Y,EUR 257.60,0,B,EUR 275.29,6,M,EUR 305.58,2,H,EUR 319.38,5,W,EUR 331.82,8,E,EUR 357.29,1,D,EUR 372.07,9,I,EUR 393.40,5,Z,EUR 423.55,2,J,EUR 434.42,1,C,EUR 469.11,3,A,EUR 477.61,4,F,EUR 502.10,0
SV1703,2018-07-10T22:30:23+02:00[CET],2018-07-11T00:00:23+02:00[CET],SXB,LYS,K,EUR 53.54,6,L,EUR 83.44,9,Q,EUR 105.26,4,V,EUR 120.67,3,U,EUR 130.33,1,T,EUR 156.27,3,X,EUR 173.28,8,N,EUR 198.93,7,O,EUR 229.26,9,S,EUR 244.57,1,Y,EUR 250.85,6,B,EUR 282.41,1,M,EUR 296.69,5,H,EUR 310.77,8,W,EUR 342.77,7,E,EUR 364.65,7,D,EUR 375.14,8,I,EUR 395.35,3,Z,EUR 428.79,9,J,EUR 447.80,2,C,EUR 456.81,1,A,EUR 473.96,8,F,EUR 509.79,2
SU2493,2018-07-10T00:14:38+02:00[CET],2018-07-10T01:44:38+02:00[CET],RNS,NCE,K,EUR 65.63,6,L,EUR 88.02,8,Q,EUR 94.95,4,V,EUR 113.95,3,U,EUR 139.44,0,T,EUR 152.48,3,X,EUR 176.65,7,N,EUR 191.60,9,O,EUR 221.56,7,S,EUR 241.21,1,Y,EUR 254.40,3,B,EUR 276.15,6,M,EUR 303.94,2,H,EUR 319.51,4,W,EUR 346.54,3,E,EUR 350.46,4,D,EUR 370.08,9,I,EUR 407.25,1,Z,EUR 416.08,8,J,EUR 432.73,7,C,EUR 467.05,0,A,EUR 477.88,9,F,EUR 499.90,7
KU5581,2018-07-10T22:18:14+02:00[CET],2018-07-10T23:48:14+02:00[CET],BDX,SXB,K,EUR 64.19,9,L,EUR 71.83,0,Q,EUR 93.60,0,V,EUR 120.99,9,U,EUR 142.01,0,T,EUR 160.90,0,X,EUR 189.35,0,N,EUR 191.02,0,O,EUR 215.21,0,S,EUR 245.39,0,Y,EUR 256.74,2,B,EUR 289.96,0,M,EUR 308.84,0,H,EUR 325.49,0,W,EUR 340.52,0,E,EUR 357.90,0,D,EUR 381.99,0,I,EUR 407.12,0,Z,EUR 424.83,4,J,EUR 449.68,0,C,EUR 459.33,0,A,EUR 471.72,8,F,EUR 494.10,0
AI6008,2018-07-10T11:51:23+02:00[CET],2018-07-10T13:21:23+02:00[CET],SXB,BDX,K,EUR 67.67,1,L,EUR 82.26,8,Q,EUR 95.47,6,V,EUR 124.62,9,U,EUR 139.73,0,T,EUR 166.01,6,X,EUR 178.25,8,N,EUR 196.43,4,O,EUR 210.40,2,S,EUR 241.92,0,Y,EUR 264.67,0,B,EUR 272.75,3,M,EUR 301.41,7,H,EUR 310.33,7,W,EUR 339.40,8,E,EUR 353.96,5,D,EUR 374.56,9,I,EUR 408.97,7,Z,EUR 417.48,8,J,EUR 436.94,1,C,EUR 454.62,8,A,EUR 474.01,0,F,EUR 506.46,1
EY5944,2018-07-10T11:15:15+02:00[CET],2018-07-10T12:45:15+02:00[CET],LYS,NCE,K,EUR 56.76,0,L,EUR 82.97,0,Q,EUR 96.50,0,V,EUR 111.81,0,U,EUR 137.51,0,T,EUR 153.62,0,X,EUR 175.92,0,N,EUR 209.57,0,O,EUR 211.84,0,S,EUR 232.45,0,Y,EUR 263.83,0,B,EUR 280.95,0,M,EUR 304.47,0,H,EUR 317.79,0,W,EUR 336.14,0,E,EUR 352.47,0,D,EUR 374.18,0,I,EUR 405.89,9,Z,EUR 410.11,0,J,EUR 432.17,0,C,EUR 450.73,0,A,EUR 478.34,0,F,EUR 493.76,0
J25468,2018-07-10T05:03:34+02:00[CET],2018-07-10T06:33:34+02:00[CET],MPL,NCE,K,EUR 57.44,7,L,EUR 88.44,8,Q,EUR 90.15,9,V,EUR 119.34,6,U,EUR 133.51,8,T,EUR 166.74,9,X,EUR 187.04,0,N,EUR 190.23,7,O,EUR 222.59,8,S,EUR 239.11,7,Y,EUR 258.36,6,B,EUR 281.08,8,M,EUR 303.47,3,H,EUR 326.94,9,W,EUR 338.01,4,E,EUR 354.69,2,D,EUR 378.85,3,I,EUR 392.12,5,Z,EUR 420.15,4,J,EUR 435.95,5,C,EUR 463.32,9,A,EUR 483.44,4,F,EUR 498.43,6
QR5572,2018-07-10T07:58:25+02:00[CET],2018-07-10T09:28:25+02:00[CET],NCE,RNS,K,EUR 53.14,1,L,EUR 78.93,5,Q,EUR 95.69,0,V,EUR 128.19,0,U,EUR 139.98,0,T,EUR 157.01,7,X,EUR 187.34,0,N,EUR 209.39,0,O,EUR 227.83,0,S,EUR 235.42,0,Y,EUR 253.43,9,B,EUR 274.79,0,M,EUR 307.09,7,H,EUR 328.07,8,W,EUR 343.00,4,E,EUR 362.76,0,D,EUR 378.82,0,I,EUR 390.42,0,Z,EUR 427.47,0,J,EUR 436.82,5,C,EUR 453.77,0,A,EUR 488.75,7,F,EUR 505.76,0
